EmployeeNumber,Department,JobRole,Age,Gender,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,WorkLifeBalance,Attrition_Actual,Attrition_Prob,Risk_Score,Risk_Tier,salary_band
22,Research & Development,Laboratory Technician,22,Male,2935,1,Yes,4,2,No,0.50257987,50.3,🟠 High,< $3K
424,Human Resources,Human Resources,31,Male,6410,2,No,1,3,No,0.5009754,50.1,🟠 High,$6K-$10K
201,Research & Development,Laboratory Technician,19,Female,1483,1,No,2,3,No,0.49786752,49.8,🟡 Medium,< $3K
1391,Sales,Sales Executive,51,Male,10596,4,No,2,3,No,0.49176085,49.2,🟡 Medium,> $10K
643,Research & Development,Laboratory Technician,24,Male,2127,1,No,2,3,No,0.47950098,48.0,🟡 Medium,< $3K
527,Sales,Sales Executive,25,Female,4487,5,Yes,4,3,No,0.47928932,47.9,🟡 Medium,$3K-$6K
54,Research & Development,Laboratory Technician,27,Female,2341,1,No,1,3,No,0.47411072,47.4,🟡 Medium,< $3K
175,Sales,Sales Executive,31,Female,4559,2,Yes,3,3,Yes,0.46222764,46.2,🟡 Medium,$3K-$6K
2010,Research & Development,Laboratory Technician,32,Female,2837,6,No,2,3,No,0.44621485,44.6,🟡 Medium,< $3K
1448,Research & Development,Research Scientist,41,Male,2127,4,Yes,3,2,No,0.44619086,44.6,🟡 Medium,< $3K
910,Human Resources,Human Resources,33,Male,2277,4,Yes,2,4,No,0.44533855,44.5,🟡 Medium,< $3K
832,Research & Development,Laboratory Technician,40,Male,5094,1,No,3,3,No,0.43432194,43.4,🟡 Medium,$3K-$6K
1269,Research & Development,Research Scientist,19,Female,2994,1,Yes,4,3,No,0.42952836,43.0,🟡 Medium,< $3K
401,Sales,Sales Executive,26,Male,5828,8,Yes,4,3,Yes,0.42610314,42.6,🟡 Medium,$3K-$6K
744,Research & Development,Laboratory Technician,44,Male,3708,5,No,3,3,No,0.42444333,42.4,🟡 Medium,$3K-$6K
846,Sales,Sales Executive,28,Female,4779,8,Yes,2,3,No,0.4236004,42.4,🟡 Medium,$3K-$6K
913,Research & Development,Research Scientist,44,Male,2559,8,Yes,1,3,No,0.4235815,42.4,🟡 Medium,< $3K
1680,Sales,Sales Representative,20,Male,2728,2,No,1,3,No,0.42332837,42.3,🟡 Medium,< $3K
1495,Sales,Sales Representative,24,Female,2033,1,No,2,3,No,0.42226613,42.2,🟡 Medium,< $3K
113,Sales,Sales Representative,23,Male,2322,0,No,1,3,No,0.41970077,42.0,🟡 Medium,< $3K
467,Sales,Sales Representative,47,Male,2976,0,No,3,3,No,0.41700304,41.7,🟡 Medium,< $3K
618,Sales,Sales Executive,26,Male,4306,0,No,3,3,No,0.3864895,38.6,🟡 Medium,$3K-$6K
1286,Research & Development,Laboratory Technician,28,Male,2154,4,Yes,3,2,No,0.38608834,38.6,🟡 Medium,< $3K
749,Sales,Sales Representative,29,Male,2642,1,No,3,3,No,0.3809279,38.1,🟡 Medium,< $3K
954,Sales,Sales Executive,40,Male,9705,1,No,2,2,No,0.37679833,37.7,🟡 Medium,$6K-$10K
974,Sales,Sales Representative,29,Female,2157,3,No,4,3,No,0.37572417,37.6,🟡 Medium,< $3K
1193,Research & Development,Research Scientist,19,Male,2552,1,No,1,3,No,0.37181368,37.2,🟡 Medium,< $3K
1605,Research & Development,Research Scientist,22,Female,2814,4,Yes,3,2,No,0.36512658,36.5,🟡 Medium,< $3K
1865,Human Resources,Human Resources,29,Male,2804,1,No,2,3,No,0.3590967,35.9,🟡 Medium,< $3K
1173,Research & Development,Laboratory Technician,24,Male,3597,4,No,2,3,No,0.357996,35.8,🟡 Medium,$3K-$6K
399,Sales,Sales Representative,31,Female,2789,2,No,2,2,No,0.3578,35.8,🟡 Medium,< $3K
1551,Research & Development,Laboratory Technician,24,Male,2296,1,No,1,3,No,0.35709715,35.7,🟡 Medium,< $3K
403,Research & Development,Research Scientist,37,Male,2326,4,Yes,4,2,No,0.35496783,35.5,🟡 Medium,< $3K
1950,Sales,Sales Executive,34,Male,9888,14,No,4,2,No,0.35460466,35.5,🟡 Medium,$6K-$10K
61,Research & Development,Research Scientist,37,Male,3022,1,No,2,3,No,0.35032874,35.0,🟡 Medium,$3K-$6K
1030,Research & Development,Laboratory Technician,50,Male,2380,1,No,4,3,No,0.34969428,35.0,🟡 Medium,< $3K
1203,Research & Development,Research Scientist,22,Male,2853,0,Yes,4,3,Yes,0.3415952,34.2,🟡 Medium,< $3K
1244,Research & Development,Research Scientist,27,Male,2235,9,Yes,1,2,No,0.34078598,34.1,🟡 Medium,< $3K
885,Sales,Sales Executive,25,Male,4256,5,No,1,4,No,0.33970246,34.0,🟡 Medium,$3K-$6K
11,Research & Development,Laboratory Technician,30,Male,2693,1,No,3,3,No,0.32543325,32.5,🟡 Medium,< $3K
639,Research & Development,Research Scientist,24,Male,2725,6,Yes,4,3,No,0.32456177,32.5,🟡 Medium,< $3K
1036,Sales,Sales Executive,38,Male,6861,1,Yes,4,3,No,0.32264662,32.3,🟡 Medium,$6K-$10K
1659,Research & Development,Laboratory Technician,36,Male,2013,4,No,2,3,No,0.3221589,32.2,🟡 Medium,< $3K
1992,Research & Development,Laboratory Technician,25,Male,3977,2,Yes,3,2,No,0.31652197,31.7,🟡 Medium,$3K-$6K
652,Research & Development,Laboratory Technician,35,Male,3681,3,No,4,3,No,0.31122229,31.1,🟡 Medium,$3K-$6K
1419,Human Resources,Human Resources,29,Male,7988,10,No,1,2,No,0.31011832,31.0,🟡 Medium,$6K-$10K
1708,Sales,Sales Executive,41,Male,9241,10,No,3,3,No,0.30636784,30.6,🟡 Medium,$6K-$10K
1275,Research & Development,Research Scientist,26,Male,2875,8,Yes,4,2,No,0.3058352,30.6,🟡 Medium,< $3K
1496,Research & Development,Manufacturing Director,44,Male,10209,2,Yes,3,2,No,0.30492625,30.5,🟡 Medium,> $10K
1333,Research & Development,Laboratory Technician,44,Male,2362,3,No,1,4,Yes,0.30080768,30.1,🟡 Medium,< $3K
284,Research & Development,Research Scientist,22,Male,2328,4,Yes,2,2,No,0.29777136,29.8,🟢 Low,< $3K
1411,Research & Development,Laboratory Technician,37,Female,3629,3,No,3,3,No,0.29652232,29.7,🟢 Low,$3K-$6K
7,Research & Development,Laboratory Technician,27,Male,3468,2,No,2,3,No,0.29200715,29.2,🟢 Low,$3K-$6K
161,Research & Development,Research Scientist,56,Female,4963,5,Yes,2,3,Yes,0.2911988,29.1,🟢 Low,$3K-$6K
508,Sales,Sales Representative,30,Male,2476,1,No,2,3,No,0.28633925,28.6,🟢 Low,< $3K
1234,Research & Development,Laboratory Technician,32,Female,2743,2,No,2,3,No,0.28633553,28.6,🟢 Low,< $3K
925,Sales,Sales Representative,47,Female,3294,3,Yes,4,2,No,0.28402674,28.4,🟢 Low,$3K-$6K
1733,Sales,Sales Executive,36,Male,6134,2,Yes,1,3,Yes,0.28313458,28.3,🟢 Low,$6K-$10K
51,Research & Development,Research Scientist,36,Female,3419,1,Yes,1,4,No,0.28038442,28.0,🟢 Low,$3K-$6K
2054,Research & Development,Research Scientist,29,Female,3785,5,No,1,1,No,0.27994415,28.0,🟢 Low,$3K-$6K
183,Sales,Sales Executive,25,Male,8639,2,No,3,3,No,0.2792371,27.9,🟢 Low,$6K-$10K
1908,Sales,Sales Executive,36,Male,5507,4,No,2,1,No,0.27677757,27.7,🟢 Low,$3K-$6K
1396,Sales,Sales Executive,32,Male,4078,3,Yes,2,2,No,0.2760737,27.6,🟢 Low,$3K-$6K
1014,Research & Development,Healthcare Representative,35,Female,10388,16,Yes,3,2,No,0.27490833,27.5,🟢 Low,> $10K
1055,Sales,Sales Representative,34,Female,2220,1,Yes,3,3,No,0.2748544,27.5,🟢 Low,< $3K
390,Research & Development,Healthcare Representative,26,Male,4741,5,Yes,1,3,No,0.27342367,27.3,🟢 Low,$3K-$6K
982,Sales,Sales Executive,30,Male,7264,8,No,3,4,No,0.27234745,27.2,🟢 Low,$6K-$10K
1762,Research & Development,Research Scientist,29,Female,2109,1,No,1,3,No,0.2699082,27.0,🟢 Low,< $3K
1492,Sales,Sales Representative,35,Male,2404,1,No,3,3,No,0.26956904,27.0,🟢 Low,< $3K
1816,Research & Development,Manufacturing Director,30,Female,9667,7,No,3,3,No,0.2678022,26.8,🟢 Low,$6K-$10K
5,Research & Development,Research Scientist,33,Female,2909,8,Yes,3,3,No,0.26762125,26.8,🟢 Low,< $3K
669,Sales,Sales Representative,21,Male,3447,3,No,3,3,No,0.2649504,26.5,🟢 Low,$3K-$6K
359,Research & Development,Laboratory Technician,32,Male,2794,5,No,2,1,No,0.26435217,26.4,🟢 Low,< $3K
556,Research & Development,Laboratory Technician,38,Male,1702,1,Yes,4,3,No,0.26039883,26.0,🟢 Low,< $3K
1987,Human Resources,Human Resources,25,Female,2187,2,No,2,3,No,0.25500712,25.5,🟢 Low,< $3K
437,Sales,Sales Executive,27,Male,4478,5,Yes,3,3,No,0.25437206,25.4,🟢 Low,$3K-$6K
1641,Research & Development,Manufacturing Director,40,Female,7945,4,Yes,4,2,No,0.25309065,25.3,🟢 Low,$6K-$10K
1667,Sales,Sales Executive,35,Male,4581,11,Yes,4,4,Yes,0.2524496,25.2,🟢 Low,$3K-$6K
1017,Research & Development,Laboratory Technician,30,Female,2422,3,No,2,3,Yes,0.2522231,25.2,🟢 Low,< $3K
602,Research & Development,Laboratory Technician,39,Female,3755,8,No,3,3,No,0.25214124,25.2,🟢 Low,$3K-$6K
854,Research & Development,Research Scientist,25,Male,3424,4,No,1,2,No,0.2521099,25.2,🟢 Low,$3K-$6K
379,Research & Development,Research Scientist,21,Male,3230,3,No,3,4,No,0.25180545,25.2,🟢 Low,$3K-$6K
1753,Research & Development,Healthcare Representative,29,Male,6294,3,Yes,3,4,No,0.25099483,25.1,🟢 Low,$6K-$10K
1001,Research & Development,Laboratory Technician,27,Female,2811,2,No,2,3,No,0.25094157,25.1,🟢 Low,< $3K
933,Research & Development,Research Scientist,27,Female,2318,1,No,3,3,No,0.24871135,24.9,🟢 Low,< $3K
1296,Research & Development,Laboratory Technician,28,Male,3867,2,Yes,4,3,No,0.2477354,24.8,🟢 Low,$3K-$6K
1502,Research & Development,Laboratory Technician,33,Female,3838,5,No,2,3,No,0.24679118,24.7,🟢 Low,$3K-$6K
1787,Sales,Sales Executive,37,Male,4189,5,No,2,3,No,0.2462028,24.6,🟢 Low,$3K-$6K
72,Sales,Sales Executive,26,Female,4157,2,Yes,4,2,No,0.24191935,24.2,🟢 Low,$3K-$6K
732,Sales,Sales Executive,60,Male,5405,2,No,1,3,No,0.24068274,24.1,🟢 Low,$3K-$6K
1324,Sales,Sales Executive,31,Female,9852,10,Yes,3,2,No,0.23935162,23.9,🟢 Low,$6K-$10K
1258,Research & Development,Laboratory Technician,48,Male,2559,1,No,2,2,No,0.237125,23.7,🟢 Low,< $3K
1558,Research & Development,Research Scientist,29,Male,2451,1,No,3,2,No,0.23362744,23.4,🟢 Low,< $3K
1350,Research & Development,Research Scientist,35,Male,4249,9,Yes,3,3,No,0.23305245,23.3,🟢 Low,$3K-$6K
30,Research & Development,Research Scientist,21,Male,1232,0,No,4,3,No,0.23201226,23.2,🟢 Low,< $3K
1164,Human Resources,Human Resources,35,Male,4323,5,No,3,1,No,0.23190744,23.2,🟢 Low,$3K-$6K
1577,Research & Development,Research Scientist,34,Male,2972,1,No,4,1,No,0.23184237,23.2,🟢 Low,< $3K
2053,Research & Development,Laboratory Technician,29,Male,4025,4,Yes,2,3,No,0.2286989,22.9,🟢 Low,$3K-$6K
1657,Sales,Sales Representative,20,Female,2783,2,No,3,3,No,0.22572318,22.6,🟢 Low,< $3K
2027,Research & Development,Research Scientist,29,Male,4787,2,Yes,4,4,Yes,0.22523077,22.5,🟢 Low,$3K-$6K
1691,Sales,Sales Representative,48,Female,2655,9,Yes,3,3,Yes,0.22328097,22.3,🟢 Low,< $3K
1070,Sales,Sales Executive,54,Female,10686,9,No,3,3,No,0.22327481,22.3,🟢 Low,> $10K
792,Research & Development,Laboratory Technician,26,Female,4364,2,No,4,3,No,0.22301401,22.3,🟢 Low,$3K-$6K
1210,Research & Development,Research Scientist,41,Male,2107,1,No,1,1,Yes,0.22258653,22.3,🟢 Low,< $3K
75,Research & Development,Laboratory Technician,35,Female,4014,2,Yes,1,3,No,0.22140774,22.1,🟢 Low,$3K-$6K
1049,Human Resources,Human Resources,45,Male,2177,6,No,2,3,No,0.21979141,22.0,🟢 Low,< $3K
277,Research & Development,Research Scientist,34,Male,3815,5,Yes,3,4,No,0.21963309,22.0,🟢 Low,$3K-$6K
2018,Sales,Sales Executive,25,Female,4907,5,Yes,3,2,No,0.2164147,21.6,🟢 Low,$3K-$6K
511,Research & Development,Research Scientist,22,Female,2244,2,No,2,3,No,0.21633697,21.6,🟢 Low,< $3K
1853,Sales,Sales Executive,32,Male,4648,0,No,4,4,No,0.21578206,21.6,🟢 Low,$3K-$6K
1409,Research & Development,Laboratory Technician,52,Female,2950,5,No,1,1,No,0.21573211,21.6,🟢 Low,< $3K
682,Sales,Sales Executive,53,Female,8381,14,No,1,4,No,0.21415685,21.4,🟢 Low,$6K-$10K
2046,Sales,Sales Executive,45,Female,4850,5,No,3,3,No,0.2110846,21.1,🟢 Low,$3K-$6K
1387,Sales,Sales Executive,28,Male,4724,5,No,1,3,No,0.21097624,21.1,🟢 Low,$3K-$6K
1242,Research & Development,Research Director,42,Female,13191,1,Yes,1,3,No,0.21041577,21.0,🟢 Low,> $10K
1724,Research & Development,Manufacturing Director,40,Female,6516,1,Yes,1,3,No,0.20846222,20.8,🟢 Low,$6K-$10K
1506,Research & Development,Research Scientist,28,Male,1563,1,No,3,1,No,0.20771693,20.8,🟢 Low,< $3K
1998,Research & Development,Research Scientist,42,Male,5410,4,Yes,1,2,No,0.20723303,20.7,🟢 Low,$3K-$6K
1131,Research & Development,Research Scientist,21,Female,2070,2,Yes,2,4,No,0.2071946,20.7,🟢 Low,< $3K
95,Research & Development,Research Scientist,31,Male,2501,1,No,2,3,No,0.20675936,20.7,🟢 Low,< $3K
1617,Research & Development,Laboratory Technician,49,Female,3211,9,No,1,2,No,0.20487338,20.5,🟢 Low,$3K-$6K
2056,Sales,Sales Executive,39,Female,12031,20,No,4,2,No,0.20359346,20.4,🟢 Low,> $10K
904,Sales,Sales Executive,37,Male,7642,10,Yes,2,3,No,0.20246227,20.2,🟢 Low,$6K-$10K
2020,Research & Development,Research Scientist,44,Male,2436,4,Yes,4,3,No,0.20228316,20.2,🟢 Low,< $3K
1611,Research & Development,Laboratory Technician,45,Female,5769,10,Yes,1,3,No,0.20194769,20.2,🟢 Low,$3K-$6K
936,Sales,Sales Executive,42,Female,6244,5,No,3,3,No,0.2015139,20.2,🟢 Low,$6K-$10K
1883,Research & Development,Laboratory Technician,29,Male,2062,3,No,1,3,No,0.199834,20.0,🟢 Low,< $3K
74,Sales,Sales Executive,35,Male,9069,9,No,1,2,No,0.19875869,19.9,🟢 Low,$6K-$10K
1881,Research & Development,Laboratory Technician,31,Male,4197,10,No,3,3,No,0.19870798,19.9,🟢 Low,$3K-$6K
448,Research & Development,Laboratory Technician,43,Female,5257,9,No,3,4,No,0.19769143,19.8,🟢 Low,$3K-$6K
1254,Sales,Sales Executive,59,Female,5171,6,No,4,3,No,0.19545212,19.5,🟢 Low,$3K-$6K
1725,Research & Development,Laboratory Technician,24,Male,3907,6,No,1,4,No,0.1941756,19.4,🟢 Low,$3K-$6K
1226,Sales,Sales Representative,20,Male,2678,2,No,4,3,No,0.19318123,19.3,🟢 Low,< $3K
1836,Sales,Sales Executive,26,Male,4684,5,No,4,3,No,0.1928967,19.3,🟢 Low,$3K-$6K
1477,Sales,Sales Executive,33,Male,4373,4,No,1,3,No,0.19268012,19.3,🟢 Low,$3K-$6K
1292,Research & Development,Research Scientist,42,Female,2372,1,Yes,2,3,No,0.19221899,19.2,🟢 Low,< $3K
680,Research & Development,Research Scientist,30,Female,2083,1,No,3,3,No,0.19162914,19.2,🟢 Low,< $3K
493,Research & Development,Research Scientist,31,Male,2657,2,Yes,2,3,No,0.1887031,18.9,🟢 Low,< $3K
1614,Research & Development,Manufacturing Director,36,Female,4663,3,Yes,3,3,No,0.18834475,18.8,🟢 Low,$3K-$6K
1019,Research & Development,Laboratory Technician,22,Male,2451,4,No,1,2,No,0.18620862,18.6,🟢 Low,< $3K
1012,Research & Development,Research Scientist,18,Male,1051,0,No,4,3,No,0.18502656,18.5,🟢 Low,< $3K
1654,Research & Development,Manufacturing Director,39,Male,5295,5,No,2,3,No,0.18484183,18.5,🟢 Low,$3K-$6K
1647,Research & Development,Research Scientist,27,Female,3517,3,No,3,3,No,0.18390779,18.4,🟢 Low,$3K-$6K
1154,Research & Development,Research Scientist,28,Male,2703,3,Yes,3,3,No,0.18375684,18.4,🟢 Low,< $3K
1801,Sales,Sales Executive,46,Male,7991,2,No,2,3,No,0.18351349,18.4,🟢 Low,$6K-$10K
155,Research & Development,Laboratory Technician,36,Female,2835,1,No,4,3,No,0.18323407,18.3,🟢 Low,< $3K
1158,Research & Development,Laboratory Technician,41,Male,4766,1,Yes,4,3,No,0.18237886,18.2,🟢 Low,$3K-$6K
1585,Sales,Sales Executive,36,Female,6815,1,No,3,3,No,0.18222773,18.2,🟢 Low,$6K-$10K
1135,Sales,Sales Representative,31,Male,2791,2,No,4,3,No,0.18180479,18.2,🟢 Low,< $3K
233,Research & Development,Research Scientist,27,Male,3058,5,Yes,2,2,No,0.18143454,18.1,🟢 Low,$3K-$6K
956,Sales,Sales Executive,26,Male,4294,7,No,1,3,No,0.1791911,17.9,🟢 Low,$3K-$6K
62,Sales,Sales Executive,46,Male,5772,9,Yes,4,3,No,0.17870077,17.9,🟢 Low,$3K-$6K
977,Research & Development,Research Scientist,58,Male,2479,1,No,3,3,Yes,0.17846845,17.8,🟢 Low,< $3K
334,Research & Development,Research Scientist,41,Male,3072,1,No,1,2,No,0.17816141,17.8,🟢 Low,$3K-$6K
834,Research & Development,Research Scientist,45,Female,2274,1,No,3,3,No,0.17703193,17.7,🟢 Low,< $3K
1515,Research & Development,Healthcare Representative,33,Male,6388,0,Yes,3,3,No,0.17630829,17.6,🟢 Low,$6K-$10K
1303,Research & Development,Research Scientist,25,Female,2096,2,No,2,2,No,0.17567463,17.6,🟢 Low,< $3K
624,Research & Development,Healthcare Representative,46,Female,10527,2,No,3,2,No,0.17397664,17.4,🟢 Low,> $10K
1856,Research & Development,Laboratory Technician,47,Female,2105,2,No,3,3,No,0.17335904,17.3,🟢 Low,< $3K
1556,Sales,Sales Representative,36,Male,2644,3,Yes,4,2,No,0.17311695,17.3,🟢 Low,< $3K
120,Sales,Sales Executive,51,Male,5441,10,Yes,4,1,No,0.17196299,17.2,🟢 Low,$3K-$6K
686,Research & Development,Laboratory Technician,26,Female,2659,3,Yes,4,3,No,0.17139901,17.1,🟢 Low,< $3K
783,Sales,Sales Representative,45,Male,6632,8,No,3,3,No,0.17090568,17.1,🟢 Low,$6K-$10K
1735,Research & Development,Laboratory Technician,23,Female,3295,3,No,2,1,No,0.17016394,17.0,🟢 Low,$3K-$6K
240,Sales,Sales Executive,45,Female,5006,5,Yes,1,4,No,0.17012735,17.0,🟢 Low,$3K-$6K
1434,Research & Development,Laboratory Technician,27,Male,2099,5,No,1,4,No,0.16934794,16.9,🟢 Low,< $3K
1746,Human Resources,Human Resources,24,Male,2145,2,No,4,3,No,0.16890714,16.9,🟢 Low,< $3K
214,Research & Development,Research Scientist,58,Female,3346,1,Yes,2,2,No,0.16878554,16.9,🟢 Low,$3K-$6K
470,Human Resources,Human Resources,42,Male,2696,3,Yes,3,3,No,0.16854246,16.9,🟢 Low,< $3K
1105,Sales,Sales Executive,37,Female,6694,1,Yes,4,3,No,0.16848725,16.8,🟢 Low,$6K-$10K
466,Research & Development,Manufacturing Director,41,Male,6032,5,Yes,2,3,No,0.16744685,16.7,🟢 Low,$6K-$10K
2060,Sales,Sales Representative,26,Female,2966,4,No,3,3,No,0.16648646,16.6,🟢 Low,< $3K
862,Sales,Sales Executive,53,Female,10934,5,Yes,4,3,No,0.16612396,16.6,🟢 Low,> $10K
1190,Sales,Sales Representative,32,Female,2827,1,No,1,3,No,0.1653932,16.5,🟢 Low,< $3K
1956,Research & Development,Research Scientist,31,Male,5003,10,No,1,3,No,0.16526745,16.5,🟢 Low,$3K-$6K
1503,Sales,Sales Executive,47,Female,4591,5,Yes,3,2,No,0.16363645,16.4,🟢 Low,$3K-$6K
475,Sales,Sales Executive,30,Female,4736,2,Yes,3,4,No,0.16193634,16.2,🟢 Low,$3K-$6K
1622,Research & Development,Manufacturing Director,28,Female,4877,5,No,1,2,No,0.16165672,16.2,🟢 Low,$3K-$6K
812,Research & Development,Laboratory Technician,24,Male,2694,1,No,2,3,No,0.16127,16.1,🟢 Low,< $3K
1481,Sales,Sales Executive,44,Female,4768,1,No,3,2,No,0.16118631,16.1,🟢 Low,$3K-$6K
1633,Research & Development,Manufacturing Director,39,Female,5042,9,No,3,1,No,0.1611699,16.1,🟢 Low,$3K-$6K
605,Research & Development,Manufacturing Director,42,Male,7406,10,Yes,1,2,No,0.160435,16.0,🟢 Low,$6K-$10K
2045,Sales,Sales Executive,36,Female,6652,6,No,4,2,No,0.15968849,16.0,🟢 Low,$6K-$10K
975,Sales,Sales Executive,35,Female,4601,5,No,3,3,No,0.15872388,15.9,🟢 Low,$3K-$6K
1265,Research & Development,Research Scientist,34,Female,2585,1,No,3,2,No,0.15813771,15.8,🟢 Low,< $3K
31,Research & Development,Research Scientist,34,Male,2960,4,No,1,3,Yes,0.15707949,15.7,🟢 Low,< $3K
1368,Research & Development,Laboratory Technician,18,Female,1611,0,No,4,4,No,0.15585582,15.6,🟢 Low,< $3K
49,Sales,Sales Representative,35,Female,2014,2,No,4,3,No,0.1557964,15.6,🟢 Low,< $3K
1321,Research & Development,Manager,30,Female,11916,9,Yes,1,3,No,0.1557123,15.6,🟢 Low,> $10K
879,Sales,Sales Executive,25,Male,4194,5,Yes,1,3,No,0.15561022,15.6,🟢 Low,$3K-$6K
463,Sales,Sales Executive,29,Female,8268,7,Yes,2,3,No,0.15540977,15.5,🟢 Low,$6K-$10K
481,Sales,Sales Executive,36,Male,9699,13,No,4,3,No,0.15496121,15.5,🟢 Low,$6K-$10K
780,Research & Development,Research Scientist,33,Male,2686,10,Yes,4,2,Yes,0.15445535,15.4,🟢 Low,< $3K
274,Research & Development,Manufacturing Director,27,Male,4298,2,No,1,3,No,0.1543777,15.4,🟢 Low,$3K-$6K
547,Research & Development,Research Scientist,42,Female,4556,5,No,3,3,No,0.15402094,15.4,🟢 Low,$3K-$6K
39,Research & Development,Laboratory Technician,33,Male,2496,1,No,4,3,No,0.15347362,15.3,🟢 Low,< $3K
1587,Research & Development,Healthcare Representative,35,Female,6142,5,Yes,3,3,No,0.15056807,15.1,🟢 Low,$6K-$10K
1916,Research & Development,Laboratory Technician,31,Female,3978,2,No,3,2,No,0.15043494,15.0,🟢 Low,$3K-$6K
1066,Sales,Sales Executive,40,Male,8396,7,No,1,2,No,0.15006606,15.0,🟢 Low,$6K-$10K
1543,Research & Development,Research Scientist,37,Male,4285,10,No,4,3,No,0.14971213,15.0,🟢 Low,$3K-$6K
1179,Sales,Sales Executive,30,Male,6578,10,No,3,3,No,0.14937463,14.9,🟢 Low,$6K-$10K
1297,Research & Development,Laboratory Technician,51,Female,2838,7,No,3,2,No,0.14931205,14.9,🟢 Low,< $3K
1136,Research & Development,Research Scientist,28,Male,3201,5,No,2,1,No,0.14883904,14.9,🟢 Low,$3K-$6K
1371,Sales,Sales Executive,27,Male,5071,6,No,4,3,No,0.14875388,14.9,🟢 Low,$3K-$6K
2003,Research & Development,Laboratory Technician,35,Male,2660,2,Yes,3,3,No,0.14872485,14.9,🟢 Low,< $3K
1163,Sales,Sales Executive,34,Female,5714,6,No,3,2,No,0.14842272,14.8,🟢 Low,$3K-$6K
207,Sales,Sales Executive,32,Female,8998,9,No,4,3,No,0.14804468,14.8,🟢 Low,$6K-$10K
1949,Research & Development,Laboratory Technician,36,Male,2810,5,No,2,3,No,0.14566219,14.6,🟢 Low,< $3K
1415,Research & Development,Laboratory Technician,25,Male,3229,3,No,4,2,No,0.14483714,14.5,🟢 Low,$3K-$6K
1082,Research & Development,Healthcare Representative,28,Male,8722,10,No,1,2,Yes,0.14456655,14.5,🟢 Low,$6K-$10K
1073,Research & Development,Manufacturing Director,36,Female,8858,14,No,4,2,No,0.1442022,14.4,🟢 Low,$6K-$10K
1436,Sales,Sales Executive,36,Female,5647,3,No,1,2,No,0.14377679,14.4,🟢 Low,$3K-$6K
1875,Sales,Sales Representative,28,Female,2856,1,No,2,3,No,0.1436491,14.4,🟢 Low,< $3K
758,Research & Development,Laboratory Technician,23,Male,2500,4,No,1,4,No,0.14361987,14.4,🟢 Low,< $3K
2009,Research & Development,Healthcare Representative,33,Female,4878,9,Yes,4,3,No,0.14108823,14.1,🟢 Low,$3K-$6K
1046,Research & Development,Laboratory Technician,32,Female,4025,8,No,3,3,No,0.13994828,14.0,🟢 Low,$3K-$6K
1171,Sales,Sales Executive,42,Male,5155,6,No,1,4,No,0.13954945,14.0,🟢 Low,$3K-$6K
837,Research & Development,Healthcare Representative,38,Male,6288,4,No,1,2,No,0.13888411,13.9,🟢 Low,$6K-$10K
1678,Sales,Sales Executive,41,Male,7082,2,Yes,3,3,No,0.13884598,13.9,🟢 Low,$6K-$10K
1224,Research & Development,Laboratory Technician,30,Male,3491,10,No,3,2,No,0.13834283,13.8,🟢 Low,$3K-$6K
382,Sales,Sales Executive,38,Female,5605,8,Yes,1,3,No,0.13725859,13.7,🟢 Low,$3K-$6K
874,Research & Development,Laboratory Technician,44,Male,2818,3,Yes,4,2,No,0.1368248,13.7,🟢 Low,< $3K
1425,Sales,Sales Executive,36,Female,9278,5,Yes,2,3,No,0.13652964,13.7,🟢 Low,$6K-$10K
1102,Research & Development,Laboratory Technician,28,Male,2207,4,No,3,2,No,0.13630469,13.6,🟢 Low,< $3K
1980,Research & Development,Manufacturing Director,54,Female,4440,5,Yes,1,3,No,0.13567592,13.6,🟢 Low,$3K-$6K
1453,Sales,Sales Executive,31,Male,10793,13,No,4,3,No,0.13540715,13.5,🟢 Low,> $10K
1586,Research & Development,Laboratory Technician,29,Male,4723,10,Yes,1,3,No,0.13538328,13.5,🟢 Low,$3K-$6K
103,Human Resources,Human Resources,46,Male,5021,4,Yes,2,3,No,0.13525318,13.5,🟢 Low,$3K-$6K
1535,Sales,Sales Executive,34,Male,7083,10,Yes,3,3,No,0.1351494,13.5,🟢 Low,$6K-$10K
1718,Research & Development,Laboratory Technician,26,Male,2305,3,No,3,4,No,0.1350305,13.5,🟢 Low,< $3K
656,Sales,Sales Executive,37,Male,9602,3,Yes,3,2,No,0.13496244,13.5,🟢 Low,$6K-$10K
2040,Human Resources,Human Resources,35,Female,8837,9,Yes,4,3,No,0.13461368,13.5,🟢 Low,$6K-$10K
1403,Sales,Sales Executive,27,Female,5769,6,Yes,4,3,No,0.13438328,13.4,🟢 Low,$3K-$6K
269,Research & Development,Laboratory Technician,35,Female,4425,6,No,2,3,No,0.13370681,13.4,🟢 Low,$3K-$6K
592,Sales,Sales Executive,36,Male,9980,10,No,4,2,No,0.13363633,13.4,🟢 Low,$6K-$10K
1125,Sales,Sales Executive,38,Male,7351,1,No,2,3,No,0.13351394,13.4,🟢 Low,$6K-$10K
1739,Sales,Sales Executive,32,Male,9610,4,No,3,1,No,0.13307093,13.3,🟢 Low,$6K-$10K
752,Research & Development,Research Scientist,42,Male,2759,2,Yes,3,3,Yes,0.1327961,13.3,🟢 Low,< $3K
